"skill","plugins","assigned"
"ci-cd-workflows","","False"
"compose-skills","core-intake-governance","True"
"critical-thinking","planning-strategy-design","True"
"csharp-architecture-quality-gate","dotnet-csharp-engineering","True"
"csharp-async-quality-gate","dotnet-csharp-engineering","True"
"csharp-data-access-quality-gate","dotnet-csharp-engineering","True"
"csharp-language-quality-gate","dotnet-csharp-engineering","True"
"csharp-orchestrator","dotnet-csharp-engineering","True"
"csharp-release-quality-gate","dotnet-csharp-engineering","True"
"csharp-testing-quality-gate","dotnet-csharp-engineering","True"
"current-test-coverage","dotnet-csharp-engineering","True"
"customer-feedback-synthesis","","False"
"data-design","dotnet-csharp-engineering","True"
"delivery-forecasting","planning-strategy-design","True"
"delivery-operating-system","planning-strategy-design","True"
"delivery-orchestration","planning-strategy-design","True"
"delivery-status-grid","governance-review-audit","True"
"dependency-security-scan","performance-security-research","True"
"design-mobile-ux","mobile-maui-ux","True"
"design-web-ux","web-frontend-ux","True"
"docker-dotnet","","False"
"docker-dotnet-buildkit-optimization","","False"
"docker-dotnet-ci-cd","","False"
"docker-dotnet-compose-workflows","","False"
"docker-dotnet-devcontainers","","False"
"docker-dotnet-foundations","","False"
"docker-dotnet-multi-platform-builds","","False"
"docker-dotnet-quality-gate","","False"
"docker-dotnet-runtime-diagnostics","","False"
"docker-dotnet-security-supply-chain","","False"
"docker-dotnet-source-curation","","False"
"docker-dotnet-testcontainers","","False"
"docker-orchestrator","","False"
"domain-design","dotnet-csharp-engineering","True"
"dotnet-refactor","dotnet-csharp-engineering","True"
"dotnet-resilience","dotnet-csharp-engineering","True"
"execute-customization-audit","governance-review-audit","True"
"experiment-design","planning-strategy-design","True"
"flow-metrics","planning-strategy-design","True"
"generate-web-icons","shadcn-tailwind-system","True"
"governance-audit","governance-review-audit","True"
"governance-delivery","planning-strategy-design","True"
"governance-health-overview","governance-review-audit","True"
"governance-summarize","governance-review-audit","True"
"index-docs","compendium-sync-docs","True"
"instructions-authoring","plugin-authoring-lifecycle","True"
"jquery-ajax","jquery-engineering","True"
"jquery-ci-integration","jquery-engineering","True"
"jquery-core","jquery-engineering","True"
"jquery-events","jquery-engineering","True"
"jquery-migration","jquery-engineering","True"
"jquery-orchestrator","jquery-engineering","True"
"jquery-performance","jquery-engineering","True"
"jquery-plugins","jquery-engineering","True"
"jquery-quality-gate","jquery-engineering","True"
"jquery-security","jquery-engineering","True"
"jquery-source-curation","jquery-engineering","True"
"jquery-testing","jquery-engineering","True"
"kendo-orchestrator","kendo-engineering","True"
"kendo-ui-accessibility","kendo-engineering","True"
"kendo-ui-charts-dataviz","kendo-engineering","True"
"kendo-ui-ci-integration","kendo-engineering","True"
"kendo-ui-core","kendo-engineering","True"
"kendo-ui-data-binding","kendo-engineering","True"
"kendo-ui-export-printing","kendo-engineering","True"
"kendo-ui-forms","kendo-engineering","True"
"kendo-ui-grid-advanced","kendo-engineering","True"
"kendo-ui-localization","kendo-engineering","True"
"kendo-ui-migration","kendo-engineering","True"
"kendo-ui-observability","kendo-engineering","True"
"kendo-ui-performance","kendo-engineering","True"
"kendo-ui-quality-gate","kendo-engineering","True"
"kendo-ui-real-time-updates","kendo-engineering","True"
"kendo-ui-security","kendo-engineering","True"
"kendo-ui-source-curation","kendo-engineering","True"
"kendo-ui-state-persistence","kendo-engineering","True"
"kendo-ui-testing","kendo-engineering","True"
"kendo-ui-theming","kendo-engineering","True"
"kendo-ui-upload-file-workflows","kendo-engineering","True"
"layer-boundaries","dotnet-csharp-engineering","True"
"learn-topics","planning-strategy-design","True"
"librarian","compendium-sync-docs","True"
"matrix-skill-mapping","governance-review-audit","True"
"mcp-authn-authz-hardening","mcp-server-engineering","True"
"mcp-contract-versioning","mcp-server-engineering","True"
"mcp-inspector-ci-observability","mcp-server-engineering","True"
"mcp-regression-test-design","mcp-server-engineering","True"
"mcp-release-readiness-gate","mcp-server-engineering","True"
"mcp-sdk-selection-csharp-typescript","mcp-server-engineering","True"
"mcp-server-quality-gate","mcp-server-engineering","True"
"mcp-servers-orchestrator","mcp-server-engineering","True"
"mcp-source-curation","mcp-server-engineering","True"
"mcp-transport-architecture","mcp-server-engineering","True"
"mobile-accessibility-quality-gate","mobile-maui-ux","True"
"mobile-offline-resilience","mobile-maui-ux","True"
"mobile-orchestrator","mobile-maui-ux","True"
"mobile-performance-quality-gate","mobile-maui-ux","True"
"mobile-release-readiness","mobile-maui-ux","True"
"operability-design","","False"
"opportunity-mapping","planning-strategy-design","True"
"optimize-customizations","governance-review-audit","True"
"outcome-review","","False"
"perf-benchmark","performance-security-research","True"
"performance-research","performance-security-research","True"
"plans","core-intake-governance","True"
"post-release-retrospective","governance-review-audit","True"
"powershell-script-library","compendium-sync-docs","True"
"prd-generator","planning-strategy-design","True"
"probabilistic-forecasting","planning-strategy-design","True"
"product-scope-slicing","planning-strategy-design","True"
"prototype-mobile-ui","mobile-maui-ux","True"
"prune-doc-artifacts","compendium-sync-docs","True"
"prune-sync-assets","compendium-sync-docs","True"
"refine-ideas","planning-strategy-design","True"
"refine-mcp-servers","mcp-server-engineering","True"
"release-readiness","governance-review-audit","True"
"release-simulation","governance-review-audit","True"
"remediate-review","governance-review-audit","True"
"request-code-review","governance-review-audit","True"
"route-customization","core-intake-governance; plugin-authoring-lifecycle","True"
"scaffold-dotnet","dotnet-csharp-engineering","True"
"scope-change-control","core-intake-governance","True"
"security-research","performance-security-research","True"
"shadcn-accessibility","shadcn-tailwind-system","True"
"shadcn-animation","shadcn-tailwind-system","True"
"shadcn-ci-integration","shadcn-tailwind-system","True"
"shadcn-component-design","shadcn-tailwind-system","True"
"shadcn-data-display","shadcn-tailwind-system","True"
"shadcn-design-system","shadcn-tailwind-system","True"
"shadcn-forms","shadcn-tailwind-system","True"
"shadcn-migration","shadcn-tailwind-system","True"
"shadcn-orchestrator","shadcn-tailwind-system","True"
"shadcn-quality-gate","shadcn-tailwind-system","True"
"shadcn-registry","shadcn-tailwind-system","True"
"shadcn-setup","shadcn-tailwind-system","True"
"shadcn-source-curation","shadcn-tailwind-system","True"
"shadcn-testing","shadcn-tailwind-system","True"
"shadcn-theming","shadcn-tailwind-system","True"
"skills-authoring","plugin-authoring-lifecycle","True"
"sql-server-automation","sql-server-dba","True"
"sql-server-diagnostics","sql-server-dba","True"
"sql-server-orchestrator","sql-server-dba","True"
"sql-server-query-tuning","sql-server-dba","True"
"sql-server-security","sql-server-dba","True"
"sql-server-standards","sql-server-dba","True"
"sre-practices","","False"
"support-runbook-generator","","False"
"support-triage","","False"
"sveltekit-actions","sveltekit-engineering","True"
"sveltekit-adapters","sveltekit-engineering","True"
"sveltekit-advanced-routing","sveltekit-engineering","True"
"sveltekit-auth","sveltekit-engineering","True"
"sveltekit-configuration","sveltekit-engineering","True"
"sveltekit-environment","sveltekit-engineering","True"
"sveltekit-errors","sveltekit-engineering","True"
"sveltekit-hooks","sveltekit-engineering","True"
"sveltekit-load","sveltekit-engineering","True"
"sveltekit-observability","sveltekit-engineering","True"
"sveltekit-orchestrator","sveltekit-engineering","True"
"sveltekit-packaging","sveltekit-engineering","True"
"sveltekit-page-options","sveltekit-engineering","True"
"sveltekit-routing","sveltekit-engineering","True"
"sveltekit-server-endpoints","sveltekit-engineering","True"
"sveltekit-state-management","sveltekit-engineering","True"
"sveltekit-testing","sveltekit-engineering","True"
"sync-customizations","compendium-sync-docs","True"
"sync-editorconfig","compendium-sync-docs","True"
"sync-skills","compendium-sync-docs","True"
"syrx-data-access","dotnet-csharp-engineering","True"
"syrx-validation","dotnet-csharp-engineering","True"
"tailwind-ci-integration","shadcn-tailwind-system","True"
"tailwind-component-design","shadcn-tailwind-system","True"
"tailwind-design-system","shadcn-tailwind-system","True"
"tailwind-orchestrator","shadcn-tailwind-system","True"
"tailwind-quality-gate","shadcn-tailwind-system","True"
"tailwind-setup","shadcn-tailwind-system","True"
"tailwind-source-curation","shadcn-tailwind-system","True"
"task-execution","core-intake-governance","True"
"task-research","core-intake-governance","True"
"taxonomy-tag-registry","core-intake-governance","True"
"test-design-review","governance-review-audit","True"
"test-driven-development","dotnet-csharp-engineering","True"
"test-orchestration","governance-review-audit","True"
"usability-test-scripts","mobile-maui-ux","True"
"web-ux-accessibility","web-frontend-ux","True"
"web-ux-account-identity-flows","web-frontend-ux","True"
"web-ux-content-clarity","web-frontend-ux","True"
"web-ux-data-dense-interfaces","web-frontend-ux","True"
"web-ux-experimentation-evidence","web-frontend-ux","True"
"web-ux-feedback-status","web-frontend-ux","True"
"web-ux-forms-conversion","web-frontend-ux","True"
"web-ux-information-architecture","web-frontend-ux","True"
"web-ux-localization","web-frontend-ux","True"
"web-ux-motion-animation","web-frontend-ux","True"
"web-ux-notification-alerts","web-frontend-ux","True"
"web-ux-offline-resilience","web-frontend-ux","True"
"web-ux-onboarding-progressive-disclosure","web-frontend-ux","True"
"web-ux-performance","web-frontend-ux","True"
"web-ux-privacy-consent","web-frontend-ux","True"
"web-ux-quality-gate","web-frontend-ux","True"
"web-ux-responsive-design","web-frontend-ux","True"
"web-ux-supportability-self-service","web-frontend-ux","True"
"web-ux-telemetry-instrumentation","web-frontend-ux","True"
"web-ux-trust-risk-signals","web-frontend-ux","True"
"web-ux-usability","web-frontend-ux","True"
"web-ux-visual-consistency","web-frontend-ux","True"
"work-intake-governance","core-intake-governance","True"
"write-mcp-servers","mcp-server-engineering","True"
"write-technical-docs","compendium-sync-docs","True"
"writing-plans","core-intake-governance","True"
"xunit-async-testing","dotnet-csharp-engineering","True"
"xunit-ci-observability","dotnet-csharp-engineering","True"
"xunit-fixture-lifecycle","dotnet-csharp-engineering","True"
"xunit-moq-collaboration","dotnet-csharp-engineering","True"
"xunit-orchestrator","dotnet-csharp-engineering","True"
"xunit-quality-gate","dotnet-csharp-engineering","True"
"xunit-runner-platforms","dotnet-csharp-engineering","True"
"xunit-source-curation","dotnet-csharp-engineering","True"
"xunit-test-design","dotnet-csharp-engineering","True"
"xunit-theory-data-stability","dotnet-csharp-engineering","True"
"xunit-traits-and-selection","dotnet-csharp-engineering","True"
"xunit-v2-v3-migration","dotnet-csharp-engineering","True"
